image_path,day,height_cm,stage
data/frames/day_01/frame_0.jpg,1,,
data/frames/day_01/frame_500.jpg,1,,
data/frames/day_02/frame_0.jpg,2,,
data/frames/day_02/frame_500.jpg,2,,
data/frames/day_03/frame_0.jpg,3,,
data/frames/day_03/frame_500.jpg,3,,
data/frames/day_04/frame_0.jpg,4,,
data/frames/day_04/frame_500.jpg,4,,
data/frames/day_05/frame_0.jpg,5,,
data/frames/day_05/frame_500.jpg,5,,
data/frames/day_06/frame_0.jpg,6,,
data/frames/day_06/frame_500.jpg,6,,
data/frames/day_07/frame_0.jpg,7,,
data/frames/day_07/frame_500.jpg,7,,
data/frames/day_08/frame_0.jpg,8,,
data/frames/day_08/frame_500.jpg,8,,
data/frames/day_09/frame_0.jpg,9,,
data/frames/day_09/frame_500.jpg,9,,
data/frames/day_10/frame_0.jpg,10,,
data/frames/day_10/frame_500.jpg,10,,
data/frames/day_11/frame_0.jpg,11,,
data/frames/day_11/frame_350.jpg,11,,
data/frames/day_11/frame_800.jpg,11,,
